code,term
L541,Percutaneous transluminal angioplasty of iliac artery
L544,Percutaneous transluminal insertion of stent into iliac artery
L548,Other specified transluminal operations on iliac artery
L549,Unspecified transluminal operations on iliac artery
L631,Percutaneous transluminal angioplasty of femoral artery
L635,Percutaneous transluminal insertion of stent into femoral artery
L638,Other specified transluminal operations on femoral artery
L639,Unspecified transluminal operations on femoral artery
L662,Percutaneous transluminal stent reconstruction of artery
L665,Percutaneous transluminal balloon angioplasty of artery
L667,Percutaneous transluminal placement of peripheral stent in artery
L668,Other specified other therapeutic transluminal operations on artery
L669,Unspecified other therapeutic transluminal operations on artery
L711,Percutaneous transluminal angioplasty of artery
L718,Other specified therapeutic transluminal operations on other artery
L719,Unspecified therapeutic transluminal operations on other artery
